facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
AKBAR RESTAURANT,"2 SOUTH STREET,  GARDEN CITY",2025-04-01,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,2 SOUTH STREET,GARDEN CITY,115304801,290500,HEMPSTEAD,AKBAR RESTAURANT,2026-12-31T00:00:00.000,,KNISHKA RESTAURANT ASSOCIATES INC,,,575135,Re-Inspection,Food prep sink installed.  Lacking indirect waste line.,NY,"(40.73451, -73.59906)"
DUNKIN DONUTS/BASKIN ROBBINS,"1051 WILLIS  AVENUE,  ALBERTSON",2026-02-20,Item  8B-   In use food dispensing utensils improperly stored;,0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1051 WILLIS  AVENUE,ALBERTSON,11507,295101,N. HEMPSTEAD,DUNKIN DONUTS/BASKIN ROBBINS,2027-03-31T00:00:00.000,,TASTY TREATS INC,,,579808,Inspection,"Score: 0/1 “A”|Seating Count: 12|Mop sink present|3-compartment sink 134ºF|Permit exp March 31, 2026|Food Managers certification: GH #44282 exp February 28, 2026 and KK #44434 exp April 30, 2026|Supplemental Allergy document provided",NY,"(40.772167, -73.64911)"
POPEYES,"2034 GREEN ACRES MALL  SPC 2216B,  VALLEY STREAM",2026-01-29,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2034 GREEN ACRES MALL  SPC 2216B,VALLEY STREAM,11581,291000,HEMPSTEAD,POPEYES,2026-11-30T00:00:00.000,,GA CHICKEN CORP,,,753345,Inspection,No violation was noted at the time of inspection. |Grade: A|Permit: 11/30/2026,NY,"(40.663372, -73.722386)"
5 DE MAYO,"611 OLD COUNTRY  ROAD,  WESTBURY",2025-05-15,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,611 OLD COUNTRY  ROAD,WESTBURY,11590,291400,N. HEMPSTEAD,5 DE MAYO,2026-06-30T00:00:00.000,,RHA RESTAURANT CORP,,,783460,Re-Inspection,,NY,"(40.750546, -73.574351)"
AU BON PAIN,"1981 MARCUS  AVENUE,  LAKE SUCCESS",2025-01-27,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1981 MARCUS  AVENUE,LAKE SUCCESS,11042,296300,N. HEMPSTEAD,AU BON PAIN,2025-11-30T00:00:00.000,,MARCUS CAFE LLC,,,789129,Re-Inspection,"No critical violations repeated at time of visit.|Seating count: 8|Permit exp November 30, 2025|Food Managers certification: JC #169133322 exp October 31, 2027|3-compartment sink noted at 131ºF|Excess equipment removal reduced and ongoing",NY,"(40.757761, -73.694542)"
STARBUCKS COFFEE #16303,"1143 WANTAGH  AVENUE,  WANTAGH",2026-01-13,"Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1143 WANTAGH  AVENUE,WANTAGH,11793,295050,HEMPSTEAD,STARBUCKS COFFEE COMPANY #16303,2026-12-31T00:00:00.000,,STARBUCKS COFFEE CO,,,792088,Inspection,Score “A”|Permit exp 12/26|20 seats,NY,"(40.694783, -73.507391)"
TODDLER TIME @ LITTLE VILL SCH (LL),"750 HICKSVILLE  ROAD,  SEAFORD",2025-03-27,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,750 HICKSVILLE  ROAD,SEAFORD,11783,295045,HEMPSTEAD,TODDLER TIME @ LITTLE VILLAGE SCHOOL(LOWER LEVEL),2040-12-31T00:00:00.000,,THE ENRICHMENT CENTER,,,579115,Inspection,"licensed for 111 children- ages 6 weeks to pre - k|12 infants, 32 toddlers, 67 pre schoolers|Students bring their own lunch and snacks.  School provides dry snacks- goldfish, pretzels|Grade A",NY,"(40.70558, -73.48573)"
EAST ROCKAWAY SENIOR CENTER,"6 JAMES STREET,  EAST ROCKAWAY",2026-01-21,No violations found.,0.0,0.0,0.0,Institutional Food Service - Adult Feeding (Non-SOFA),Nassau  County,NASSAU,6 JAMES STREET,EAST ROCKAWAY,11518,299900,NASSAU SCHOOLS,EAST ROCKAWAY SENIOR CENTER,2027-03-31T00:00:00.000,,INC VILLAGE OF EAST ROCKAWAY,,,699389,Inspection,"Score: 0/0 “A”|Permit Expires:  March 31, 2026|Food is catered from local restaurants.",NY,"(40.645765, -73.664381)"
TACO BELL #3180,"1650 JERICHO  TURNPIKE,  NEW HYDE PARK",2026-03-19,"Item  8B-   In use food dispensing utensils improperly stored; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,5.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1650 JERICHO  TURNPIKE,NEW HYDE PARK,11040,291201,N. HEMPSTEAD,TACO BELL #3180,2026-12-31T00:00:00.000,,TACO BELL OF AMERICA LLC,,,579541,Inspection,Grade: A |Permit exp - Dec. 2026 |Seats - 40,NY,"(40.733854, -73.678643)"
CHRIST LUTHERAN CHURCH (MHK),"3384 ISLAND  ROAD,  WANTAGH",2025-10-29,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,3384 ISLAND  ROAD,WANTAGH,11793,295050,HEMPSTEAD,CHRIST LUTHERAN CHURCH MEETING HALL KITCHEN,2026-04-30T00:00:00.000,CHRIST LUTHERAN CHURCH,CHRIST LUTHERAN CHURCH,,,572679,Inspection,Permit expires April 2026|Grade A|Residential refrigerator noted in kitchen|Commercial stove noted - currently not used,NY,"(40.683692, -73.508233)"
LITTLE PEBBLES NURSERY SCHOOL,"303 OCEAN  AVENUE,  EAST ROCKAWAY",2023-06-28,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,303 OCEAN  AVENUE,EAST ROCKAWAY,11518,291100,HEMPSTEAD,LITTLE PEBBLES NURSERY SCHOOL,2040-12-31T00:00:00.000,LITTLE PEBBLES NURSERY SCHOOL,CHURCH OF THE NAZARENE,OHL,JILL,572766,Inspection,55 children enrolled |ages are 30 months to 5 years|snacks include goldfish and animal crackers |students bring lunch with cold pack|single service ware used|residential kitchen |snacks in totes|thermometer in refrigerator |restroom’s stocked with soap and paper towels |hot water good|sick worker policy discussed|gloves throughout |non operational inspection |camp opens July 5-August 18|Grade “A” |Acceptable for licensing,NY,"(40.650542, -73.659164)"
I PARK CAFE #1,"1111 MARCUS  AVENUE,  LAKE SUCCESS",2026-03-05,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1111 MARCUS  AVENUE,LAKE SUCCESS,11042,296300,N. HEMPSTEAD,I PARK CAFE #1,2026-11-30T00:00:00.000,I PARK CAFE #1,1111 MARCUS AVENUE CAFE LTD,,,569952,Inspection,"Food Permit# F0114014-Expires November 30, 2026, Food Manager’s Certificate: A.G # 41849-Expires February 28, 2029|Inspection ratings: 0/4”A”",NY,"(40.75813, -73.69607)"
RECONSTRUCTIONIST SYNAGOGUE OF NS,"1001 PLANDOME  ROAD,  PLANDOME",2024-04-18,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,1001 PLANDOME  ROAD,PLANDOME,11030,293200,N. HEMPSTEAD                 V,RECONSTRUCTIONIST SYNAGOGUE OF NORTH SHORE,2027-12-31T00:00:00.000,,JEWISH RECONSTRUCTIONST SOCIETY OF NORTH SHORE,,,673771,Inspection,Score: A|Congregation uses kitchen |Kosher|No outside catering,NY,"(40.805134, -73.706593)"
NORTH VILLAGE TAVERN,"40A NORTH VILLAGE  AVENUE,  ROCKVILLE CENTRE",2025-01-07,"Item 11D-   Non food contact surfaces of equipment not clean; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,40A NORTH VILLAGE  AVENUE,ROCKVILLE CENTRE,115704602,290900,HEMPSTEAD,NORTH VILLAGE TAVERN,2026-09-30T00:00:00.000,,FAT HEADS WHISKEY GRILL CORP,,,717813,Inspection,"Score “A”|FMTC G.C no.49759 exp 2/26, H.C no.42749 exp 2/26|Permit exp 9/24|25 seats",NY,"(40.657833, -73.647865)"
"STARRY NIGHT CAFE, THE","950 SOUTH OYSTER BAY ROAD,  HICKSVILLE",2023-06-23,No violations found.,0.0,0.0,0.0,Institutional Food Service - Institution Food Service,Nassau  County,NASSAU,950 SOUTH OYSTER BAY ROAD,HICKSVILLE,11801,295205,OYSTER BAY,THE STARRY NIGHT CAFE,2026-09-30T00:00:00.000,,CENTRAL NASSAU GUIDANCE & COUNSELING SERVICES INC,,,751213,Re-Inspection,All violations corrected.,NY,"(40.75733, -73.499843)"
CHINA HOUSE,"906 OLD COUNTRY ROAD,  WESTBURY",2026-01-09,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,906 OLD COUNTRY ROAD,WESTBURY,11590,291400,N. HEMPSTEAD,CHINA HOUSE,2026-04-30T00:00:00.000,,,DONG,QIAOHANG,774408,Re-Inspection,No violations noted during reinspection. Appearance order issued.,NY,"(40.744794, -73.605662)"
LA BACHATA,"214 FULTON  AVENUE,  HEMPSTEAD",2025-03-13,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,3.0,Food Service Establishment - Tavern,Nassau  County,NASSAU,214 FULTON  AVENUE,HEMPSTEAD,11550,290600,HEMPSTEAD,LA BACHATA,2026-12-31T00:00:00.000,,REYES & REYES CORP,"REYES, PRESIDENT",ROSA,802845,Inspection,"Seatings: 49 Food Permit# F011648-Expires December 31, 2026|Inspection ratings: 0/3”A”",NY,"(40.707675, -73.627878)"
HEWLETT SD - ELEMENTARY SCHOOL,"1570 BROADWAY,  HEWLETT",2024-10-25,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,1570 BROADWAY,HEWLETT,11557,299900,NASSAU SCHOOLS,HEWLETT SD - ELEMENTARY SCHOOL,2026-09-30T00:00:00.000,,HEWLETT WOODMERE UFSD,ROSENTHAL,MICHELLE,573642,Inspection,"Score: 0/0 “A”|Permit Expires: September 30, 2025|October 2024 Breakfast and Lunch Menu Attached.",NY,"(40.644868, -73.693326)"
PLANTING FIELDS BURNS HORTICULTURAL,"1395 PLANTING FIELDS ROAD,  OYSTER BAY",2024-09-03,"Item 12A-   Hot, cold running water not provided, pressure inadequate;",0.0,0.0,1.0,Institutional Food Service - Institution Food Service,Nassau  County,NASSAU,1395 PLANTING FIELDS ROAD,OYSTER BAY,11771,295212,OYSTER BAY,PLANTING FIELDS BURNS HORTICULTURAL CENTER,2026-11-30T00:00:00.000,,STATE OF NEW YORK,,,685962,Inspection,0/1 “A”|Seats: 150|Permit: exp 11/30/2024,NY,"(40.863277, -73.566857)"
BONANZA'S STAND OF OYSTER BAY,"25 SHORE  AVENUE,  OYSTER BAY",2025-07-21,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",1.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,25 SHORE  AVENUE,OYSTER BAY,11771,295212,OYSTER BAY,BONANZA'S STAND OF OYSTER BAY,2026-08-31T00:00:00.000,BONANZA'S STAND,BONANZA'S STAND OF OYSTER BAY INC,,,569296,Inspection,Score “A”|Permit exp 8/25|16 seats,NY,"(40.873804, -73.533425)"
FRESH MEADOW CO CLUB HALFWAY HSE,"255 LAKEVILLE ROAD,  LAKE SUCCESS",2024-09-12,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,255 LAKEVILLE ROAD,LAKE SUCCESS,11020,296300,N. HEMPSTEAD,FRESH MEADOW COUNTRY CLUB HALFWAY HOUSE SNACK BAR,2026-07-31T00:00:00.000,FRESH MEADOW CO CLUB HALFWAY HSE SB,FRESH MEADOWS COUNTRY CLUB INC,,,573928,Re-Inspection,Facility installed hand washing sink.,NY,"(40.775875, -73.713079)"
CABO A TASTE OF MEXICO,"3 A NORTH PARK AVENUE,  ROCKVILLE CENTRE",2025-09-30,"Item 12A-   Hot, cold running water not provided, pressure inadequate;",0.0,0.0,2.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,3 A NORTH PARK AVENUE,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,CABO 'A TASTE OF MEXICO',2026-01-31T00:00:00.000,CABO MEXICAN RESTAURANT,3 A NORTH PARK AVE REST CORP,,,570147,Re-Inspection,,NY,"(40.656269, -73.645209)"
R T MCGRATH'S,"4145 MERRICK  ROAD,  MASSAPEQUA",2025-12-11,No violations found.,0.0,0.0,0.0,Food Service Establishment - Tavern,Nassau  County,NASSAU,4145 MERRICK  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,R T MCGRATH'S,2028-01-31T00:00:00.000,R T MCGRATH'S,R T MCGRATH'S PUB INC,,,577169,Inspection,No violation,NY,"(40.666859, -73.479938)"
DUNKIN DONUTS,"355 SUNRISE  HIGHWAY,  LYNBROOK",2025-12-30,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,355 SUNRISE  HIGHWAY,LYNBROOK,11563,290700,HEMPSTEAD,DUNKIN DONUTS,2026-11-30T00:00:00.000,DUNKIN DONUTS,LYNBROOK DONUT SYSTEMS LLC,,,575987,Re-Inspection,All violations were corrected at the time of inspection.,NY,"(40.654976, -73.67033)"
NHP-GCP SD - GARDEN CITY PARK SCH,"51 CENTRAL AVENUE,  GARDEN CITY PARK",2025-09-29,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,51 CENTRAL AVENUE,GARDEN CITY PARK,11040,299900,NASSAU SCHOOLS,NHP-GCP SD - GARDEN CITY PARK SCHOOL,2026-09-30T00:00:00.000,,NEW HYDE PARK/GARDEN CITY PARK UFSD,,,576684,Inspection,"Score: 0/0 “A”|Permit Expires: September 30, 2026|Milk Expiration Date: October 10, 2025.",NY,"(40.71995, -73.640752)"
BUFF PATTY RESTAURANT & BAKERY,"798 ELMONT  ROAD,  ELMONT",2026-01-06,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,798 ELMONT  ROAD,ELMONT,11003,295013,HEMPSTEAD,BUFF PATTY RESTAURANT & BAKERY,2026-11-30T00:00:00.000,,CHELSEA RESTAURANT GROUP INC,,,572322,Re-Inspection,"Seatings: 6: Food Manager’s Certificate A.D # 1689656080-Expires July 31, 2026, F00112006-Expires November 30, 2026: Food Permit# F0112006-Expires November 30, 2026",NY,"(40.690739, -73.720913)"
PRESS 195,"22 NORTH PARK  AVENUE,  ROCKVILLE CENTRE",2025-08-20,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,3.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,22 NORTH PARK  AVENUE,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,PRESS 195,2026-11-30T00:00:00.000,,ROCKVILLE CENTRE PRESS INC,,,752053,Inspection,Score “A”|FMTC J.A no.59520295 exp 9/26|Permit exp 11/25|184 seats,NY,"(40.656961, -73.645247)"
K F C & TACO BELL,"56 GLEN COVE  ROAD,  GREENVALE",2025-09-26,"Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,56 GLEN COVE  ROAD,GREENVALE,11548,295107,N. HEMPSTEAD,K F C  &  TACO BELL,2026-05-31T00:00:00.000,,KEDIS ENTERPRISES LLC,,,780094,Inspection,0/2 “A”|Seats: 25|Permit: exp 05/31/2025,NY,"(40.809364, -73.627926)"
SUBWAY,"52 WEST JOHN STREET,  HICKSVILLE",2025-06-09,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,52 WEST JOHN STREET,HICKSVILLE,11801,295205,OYSTER BAY,SUBWAY,2026-06-30T00:00:00.000,,AMBER AMRIT CORP,,,815843,Re-Inspection,"Hot water at 3 compartment sink measured at 139.4 degrees F.|If in the future, the hot water is noted to be below 140 degrees, the hot water heater may need to be replaced with a 12 kw hot water heater.",NY,"(40.768958, -73.528733)"
COLD STONE CREAMERY,"984 FRANKLIN  AVENUE,  GARDEN CITY",2025-04-30,Item  8B-   In use food dispensing utensils improperly stored;,0.0,0.0,1.0,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,984 FRANKLIN  AVENUE,GARDEN CITY,11530,290500,HEMPSTEAD,COLD STONE CREAMERY,2026-04-30T00:00:00.000,,LONG ISLAND CREAMERY INC,,,575566,Inspection,Grade: A|Seats: 18|Permit: F0116109; exp: 04/30/2026,NY,"(40.72939, -73.635647)"
BREW 7,"270 B MERRICK ROAD,  ROCKVILLE CENTRE",2014-05-27,No violations found.,0.0,0.0,0.0,Food Service Establishment - Frozen Desserts,Nassau  County,NASSAU,270 B MERRICK ROAD,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,BREW7 FD,2026-07-31T00:00:00.000,,,,,675875,Re-Inspection,,NY,"(40.656131, -73.645564)"
WHITE CLOUD RESTAURANT,"1-E PARK LANE,  MASSAPEQUA",2026-03-13,Item  8B-   In use food dispensing utensils improperly stored;,0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1-E PARK LANE,MASSAPEQUA,11758,295209,OYSTER BAY,WHITE CLOUD CHINESE KITCHEN,2026-09-30T00:00:00.000,,WHITE CLOUD CHINESE RESTAURANT INC.,,,751908,Re-Inspection,,NY,"(40.679101, -73.439637)"
OYSTER BABIES,"15 SHORE  AVENUE,  OYSTER BAY",2025-02-28,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,15 SHORE  AVENUE,OYSTER BAY,11771,295212,OYSTER BAY,OYSTER BABIES,2040-12-31T00:00:00.000,OYSTER BABIES,JANINE M MARKS,,,574488,Inspection,Grade: A|FMTC#: 279687078 - SG - Exp: 11/30/2026|# of children enrollees: 40-45|Maximum allowed: 75|Age range: 8wks - 5yrs|Breakfast and lunch served daily.|Sick policy discussed.|Allergy policy discussed.,NY,"(40.873607, -73.533034)"
CHURRASQUEIRA BARRADA,"144 JERICHO  TURNPIKE,  MINEOLA",2025-06-06,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,144 JERICHO  TURNPIKE,MINEOLA,11501,290800,N. HEMPSTEAD,CHURRASQUEIRA BAIRRADA RESTAURANT,2027-01-31T00:00:00.000,BAIRRADA RODISIO RESTAURANT,CARVALHO ENTERPRRISES INC,,,570419,Re-Inspection,No violations noted.,NY,"(40.749037, -73.641763)"
PEARSALL STATION,"479 SUNRISE  HIGHWAY,  LYNBROOK",2026-02-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,479 SUNRISE  HIGHWAY,LYNBROOK,11563,290700,HEMPSTEAD,PEARSALL STATION,2026-09-30T00:00:00.000,PEARSALL STATION,BREAD & BUTTER LLC,,,570551,Re-Inspection,All violations were corrected at the time of inspection.,NY,"(40.65517, -73.673991)"
OPA GRILLE,"505 A  STEWART AVENUE,  BETHPAGE",2026-01-16,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,505 A  STEWART AVENUE,BETHPAGE,11714,295201,OYSTER BAY,OPA GRILLE,2027-03-31T00:00:00.000,OPA GRILLE,PGM CORP,,,575963,Re-Inspection,,NY,"(40.741955, -73.481736)"
"ROCKAWAY HUNTING CLUB, THE","615 OCEAN  AVENUE,  LAWRENCE",2025-10-29,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,615 OCEAN  AVENUE,LAWRENCE,11559,292400,HEMPSTEAD,THE ROCKAWAY HUNTING CLUB,2027-03-31T00:00:00.000,ROCKAWAY HUNTING CLUB #512,THE ROCKAWAY HUNTING CLUB INC,,,578044,Re-Inspection,Shellfish tags properly stored with fresh product in the walk-in refrigerator. 90-day supply of tags available on site for review.,NY,"(40.615168, -73.711313)"
DOZEN BAGELS,"706 DOGWOOD  AVENUE,  FRANKLIN SQUARE",2026-01-27,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,706 DOGWOOD  AVENUE,FRANKLIN SQUARE,11010,295015,HEMPSTEAD,DOZEN BAGELS,2026-10-31T00:00:00.000,,TWO S BROTHERS CORP,,,579151,Re-Inspection,No violation was noted at the time of inspection.,NY,"(40.688253, -73.667981)"
HERRICKS COMMUNITY SVCS CENTER,"999 HERRICKS ROAD,  NEW HYDE PARK",2025-12-12,No violations found.,0.0,0.0,0.0,SOFA Food Service - SOFA Satellite Site -State Office for the Aging,Nassau  County,NASSAU,999 HERRICKS ROAD,NEW HYDE PARK,11040,299900,NASSAU SCHOOLS,HERRICKS COMMUNITY SERVICES CENTER,2027-01-31T00:00:00.000,,HERRICKS PUBLIC SCHOOLS,,,499226,Re-Inspection,Violations noted to be corrected.,NY,"(40.760552, -73.660452)"
